descriere,pret,link
"Prezervative stimulante Love Match Stimolante, 1 cutie cu 144 buc",169,https://www.emag.ro/prezervative-stimulante-love-match-stimolante-1-cutie-cu-144-buc-6502j/pd/D9X4Y9MBM/
"Prezervative Durex Feel Thin Slim Fit, 10 buc",24,https://www.emag.ro/prezervative-durex-feel-thin-slim-fit-10-buc-5997321772738/pd/D05B25BBM/
Prezervative My Size 64 mm 10buc,46,https://www.emag.ro/prezervative-my-size-64-mm-10buc-301194-ws/pd/DMP6L5BBM/
"Prezervative Durex Invisible, 24 bucati",49,https://www.emag.ro/prezervative-durex-invisible-24-bucati-487/pd/DG1KHXMBM/
"Prezervative Durex Invisible Extra Thin, lubrifiate, 10 buc",29,https://www.emag.ro/prezervative-durex-invisible-extra-thin-lubrifiate-10-buc-xte201497/pd/D1NSNHMBM/
"Prezervative Durex Feel Thin XXL, 10 buc",48,https://www.emag.ro/prezervative-durex-feel-thin-xxl-10-buc-5997321772745/pd/DQ5B25BBM/
Prezervative MY SIZE 49x10 buc,37,https://www.emag.ro/prezervative-my-size-49x10-buc-2180a/pd/D2VFBVBBM/
Prezervative Secura Black Pearl 24buc,38,https://www.emag.ro/prezervative-secura-black-pearl-24buc-deniro24417/pd/DN1PF5BBM/
"Prezervative Durex Feeling Extra Fin, 20 buc",39,https://www.emag.ro/prezervative-durex-feeling-extra-fin-20-buc-1888316888/pd/DQTQDXMBM/
"Prezervative Durex Feel Thin, 36 buc, Cutie Discreta",121,https://www.emag.ro/prezervative-durex-feel-thin-36-buc-cutie-discreta-5949031309216/pd/DW2JY5BBM/
"Prezervative Ritex Magic, 8 buc",22,https://www.emag.ro/prezervative-ritex-magic-8-buc-4001669418195/pd/DWVL6KMBM/
"Prezervative Skyn Original, 3 buc",14,https://www.emag.ro/prezervative-skyn-original-3-buc-5011831084126/pd/DBJB5MMBM/
"Prezervative Durex Invisible Extra Lubrificated, 10 buc",54,https://www.emag.ro/prezervative-durex-invisible-extra-lubrificated-10-buc-5052197049732/pd/D1CG03BBM/
Prezervative aromate Love Match 6 buc,20,https://www.emag.ro/prezervative-aromate-love-match-6-buc-xte201174/pd/DQ09Z7MBM/
Prezervative Love Match Resistente 6 buc,19,https://www.emag.ro/prezervative-love-match-resistente-6-buc-xte201182/pd/DBH9Z7MBM/
"Prezervative Pasante Tropical, 10 bucati",20,https://www.emag.ro/prezervative-pasante-tropical-10-bucati-314/pd/DYTR9WBBM/
"Prezervative ultra subtiri, Mister Size, 69 mm, 1 cutie x 10 buc",50,https://www.emag.ro/prezervative-ultra-subtiri-mister-size-69-mm-1-cutie-x-10-buc-97126/pd/DF7S3XMBM/
"Prezervativ My Size, 11 cm, 1 buc",29,https://www.emag.ro/prezervativ-my-size-11-cm-1-buc-2306/pd/D9YW65BBM/
Prezervative Amor Hot Moments 12 buc,34,https://www.emag.ro/prezervative-amor-hot-moments-12-buc-01537-d/pd/D9THZ5BBM/
"Prezervative Pasante Cooling, 10 bucati",20,https://www.emag.ro/prezervative-pasante-cooling-10-bucati-294/pd/D31KFWBBM/
"Prezervative Durex Pleasuremax, 12 bucati",68,https://www.emag.ro/prezervative-durex-pleasuremax-12-bucati-324-434938591/pd/D4W1SWBBM/
"Prezervative Durex Mutual Climax, 10 buc",90,https://www.emag.ro/prezervative-durex-mutual-climax-10-buc-or04300300000/pd/DQX04XMBM/
Prezervative Lelo Hex,167,https://www.emag.ro/prezervative-lelo-hex-7350075024085/pd/DRX6Z1BBM/
Prezervative Mister Size 49 mm 3 buc,23,https://www.emag.ro/prezervative-mister-size-49-mm-3-buc-or04136660000/pd/D60610MBM/
"Set 10x Prezervative, JUNCAI, Okamto, fara Latex, fara alergeni, Ultra-Thin, Ultra Subtiri, 0.01mm",77,https://www.emag.ro/set-10x-prezervative-juncai-okamto-fara-latex-fara-alergeni-ultra-thin-ultra-subtiri-0-01mm-cndm-okmto-10/pd/D852H3MBM/
"Set Prezervative Durex Mutual Pleasure 16 bucati, Intense Orgasmic 16 bucati",155,https://www.emag.ro/set-prezervative-durex-mutual-pleasure-16-bucati-intense-orgasmic-16-bucati-dur2xintensmutual/pd/DR3DV5BBM/
"Prezervative Masculan Special Edition, 3 buc",7,https://www.emag.ro/prezervative-masculan-special-edition-3-buc-4019042001032/pd/DP536MBBM/
"Prezervative Durex Excite Me, 3 buc",10,https://www.emag.ro/prezervative-durex-excite-me-3-buc-00228/pd/D3TJMCBBM/
"Prezervative Manix SKYN Large, 10 Buc.",96,https://www.emag.ro/prezervative-manix-skyn-large-10-buc-411809/pd/DHDQG9BBM/
"Prezervative Sico, 100 buc",224,https://www.emag.ro/prezervative-sico-100-buc-xte201501/pd/D90SNHMBM/
"Prezervative Durex Extra Safe, 3 buc",10,https://www.emag.ro/prezervative-durex-extra-safe-3-buc-5010232967854/pd/DCRGLBBBM/
"Prezervative Pasante King Size, 50 bucati",108,https://www.emag.ro/prezervative-pasante-king-size-50-bucati-pstking50/pd/DQDGFSBBM/
"Prezervative Ritex Lust, 3 buc",9,https://www.emag.ro/prezervative-ritex-lust-3-buc-4001669183246/pd/D04L6KMBM/
"Prezervative Trojan Ultra Ribbed Ecstasy, 10 buc",31,https://www.emag.ro/prezervative-trojan-ultra-ribbed-ecstasy-10-buc-505751/pd/DXS012MBM/
Prezervativ Durex 3buc Extra Safe,10,https://www.emag.ro/prezervativ-durex-3buc-extra-safe-t-09/pd/DNYC4ZBBM/
Prezervative Anos 24 buc,49,https://www.emag.ro/prezervative-anos-24-buc-xte201272/pd/DF7N3TMBM/
Prezervative Fosforescente AMOR NEON 6 buc,48,https://www.emag.ro/prezervative-fosforescente-amor-neon-6-buc-dd1pf5bbm/pd/DD1PF5BBM/
"Set Prezervative Durex Classic 2x18, 36 bucati",124,https://www.emag.ro/set-prezervative-durex-classic-2x18-36-bucati-dur2x18classic/pd/DN2TRQBBM/
"Prezervative Ritex extra-large XXL, 8 buc",24,https://www.emag.ro/prezervative-ritex-extra-large-xxl-8-buc-r3169/pd/DZQTK2BBM/
"Prezervative,unidus,sensation ,3buc",3,https://www.emag.ro/prezervative-unidus-sensation-3buc-prezervative02/pd/DH1NQXMBM/
"Prezervative Manix SKYN Original, 10 buc",89,https://www.emag.ro/prezervative-manix-skyn-original-10-buc-411795/pd/D5QKZ3BBM/
"Prezervative Masculan Gold Luxury Edition, 3 buc",5,https://www.emag.ro/prezervative-masculan-gold-luxury-edition-3-buc-4019042000936/pd/D59WFTMBM/
"Prezervative Ritex Lust, 8 buc",22,https://www.emag.ro/prezervative-ritex-lust-8-buc-4001669408035/pd/DH4L6KMBM/
"Prezervative Durex Extra Safe, 12 buc",27,https://www.emag.ro/prezervative-durex-extra-safe-12-buc-5010232964600/pd/D8QGLBBBM/
"Prezervative Durex Fetherlite, 3 bucati",20,https://www.emag.ro/prezervative-durex-fetherlite-3-bucati-00236/pd/DGRF5CBBM/
"Prezervative Durex Performa, 12 buc",72,https://www.emag.ro/prezervative-durex-performa-12-buc-performa12/pd/DGW0THBBM/
Prezervative Amor XXL 3buc,5,https://www.emag.ro/prezervative-amor-xxl-3buc-deniro4461/pd/D2S53CBBM/
Prezervative Secura Sentiment Natural 100 buc,111,https://www.emag.ro/prezervative-secura-sentiment-natural-100-buc-or04163710000/pd/D197DDMBM/
Prezervative My Size marimea 49 mm x 36 buc,124,https://www.emag.ro/prezervative-my-size-marimea-49-mm-x-36-buc-mysize-663/pd/D505WGBBM/
Prezervative Dolphi XXXXXL,7,https://www.emag.ro/prezervative-dolphi-xxxxxl-dolphixxxxxl/pd/DH8VZ3MBM/
Prezervative My Size marimea 57 mm x 36 buc,182,https://www.emag.ro/prezervative-my-size-marimea-57-mm-x-36-buc-mysize-649/pd/DQ05WGBBM/
Prezervative My Size 60mm 3buc,19,https://www.emag.ro/prezervative-my-size-60mm-3buc-301258-ws/pd/DWH6L5BBM/
"Prezervative Pasante Naturalle, 50 bucati",100,https://www.emag.ro/prezervative-pasante-naturalle-50-bucati-307/pd/D21KFWBBM/
Prezervative Amor Wild Dreams 3buc,10,https://www.emag.ro/prezervative-amor-wild-dreams-3buc-deniro4465/pd/D8W3CZBBM/
"Pachet Prezervative Durex Extended Pleasure, 3 buc/set + Lubrifiant Durex Play Saucy Strawberry 50 ml",38,https://www.emag.ro/pachet-prezervative-durex-extended-pleasure-3-buc-set-lubrifiant-durex-play-saucy-strawberry-50-ml-col5135000/pd/D3THZ5BBM/
"Prezervative Pasante Delay Infinity, 10 bucati",25,https://www.emag.ro/prezervative-pasante-delay-infinity-10-bucati-296/pd/D8DR9WBBM/
"Prezervative Vitalis Premium X-Large, 3 buc",5,https://www.emag.ro/prezervative-vitalis-premium-x-large-3-buc-5701a/pd/DJ55FBMBM/
Prezervative Secura El Toro 12buc,29,https://www.emag.ro/prezervative-secura-el-toro-12buc-4024144416387/pd/DFXTJ7MBM/
"Prezervative Pasante Intensity, 50 bucati",100,https://www.emag.ro/prezervative-pasante-intensity-50-bucati-303/pd/DK1KFWBBM/
"Prezervative Pasante Extra Safe, 50 bucati",103,https://www.emag.ro/prezervative-pasante-extra-safe-50-bucati-299/pd/D71KFWBBM/
"Prezervative Pasante Extra Sure, 50 bucati",94,https://www.emag.ro/prezervative-pasante-extra-sure-50-bucati-301/pd/DT1KFWBBM/
"Prezervative Asha International Euroglider, 10 bucati",19,https://www.emag.ro/prezervative-asha-international-euroglider-10-bucati-394/pd/D4SZ3YMBM/
Prezervative Durex Feel Intimate 3 buc,23,https://www.emag.ro/prezervative-durex-feel-intimate-3-buc-xte201267/pd/DT5SDTMBM/
Prezervative Secura Ultra Thin Natural Feeling 12 buc,29,https://www.emag.ro/prezervative-secura-ultra-thin-natural-feeling-12-buc-4024144416356/pd/DSXTJ7MBM/
"Prezervative premium My Size PRO, subtiri si rezistente, marime 57mm, 1 cutie x 3 buc",25,https://www.emag.ro/prezervative-premium-my-size-pro-subtiri-si-rezistente-marime-57mm-1-cutie-x-3-buc-d-228867/pd/DL4DGPMBM/
"Prezervative premium My Size PRO, subtiri si rezistente, marime 72mm, 1 cutie x 10 buc",38,https://www.emag.ro/prezervative-premium-my-size-pro-subtiri-si-rezistente-marime-72mm-1-cutie-x-10-buc-d-228880/pd/DG4DGPMBM/
"Prezervative Pasante Super King Size, 50 buc",123,https://www.emag.ro/prezervative-pasante-super-king-size-50-buc-pstkingsize50/pd/D6DGFSBBM/
"Set Prezervative Durex Feel Thin XXL 3x10, 30 bucati",197,https://www.emag.ro/set-prezervative-durex-feel-thin-xxl-3x10-30-bucati-dur3xxxl/pd/D9NQH6BBM/
"Pachet promo: Prezervative Skyn Extra Lubricated, 13 bucati",54,https://www.emag.ro/pachet-promo-prezervative-skyn-extra-lubricated-13-bucati-5943046049662/pd/DD98P2MBM/
"Set Prezervative Durex Intense Orgasmic 2x10, 20 bucati",139,https://www.emag.ro/set-prezervative-durex-intense-orgasmic-2x10-20-bucati-dur2x10intense/pd/D3XN8QBBM/
"Prezervative premium My Size PRO, subtiri si rezistente, marime 47mm, 1 cutie x 10 buc",46,https://www.emag.ro/prezervative-premium-my-size-pro-subtiri-si-rezistente-marime-47mm-1-cutie-x-10-buc-d-228858/pd/D94DGPMBM/
"Prezervative premium My Size PRO, subtiri si rezistente, marime 64mm, 1 cutie x 10 buc",46,https://www.emag.ro/prezervative-premium-my-size-pro-subtiri-si-rezistente-marime-64mm-1-cutie-x-10-buc-d-228874/pd/D84DGPMBM/
"Set de Prezervative Mister Size 47 mm,3 buc",22,https://www.emag.ro/set-de-prezervative-mister-size-47-mm-3-buc-or04136310000/pd/D1LKDHMBM/
"Prezervative Pasante Infinity, 3 buc",12,https://www.emag.ro/prezervative-pasante-infinity-3-buc-500623/pd/DCLNM2MBM/
Prezervative Amor Thin 3buc,5,https://www.emag.ro/prezervative-amor-thin-3buc-deniro50003/pd/DYGT8RBBM/
Prezervative Amor Thin 12buc,35,https://www.emag.ro/prezervative-amor-thin-12buc-df9p0lbbm/pd/DF9P0LBBM/
Prezervative Dolphi Anatomic Colored Flavoured,7,https://www.emag.ro/prezervative-dolphi-anatomic-colored-flavoured-dolphi/pd/DMXCRYBBM/
"Prezervative premium My Size PRO, subtiri si rezistente, marime 45mm, 1 cutie x 3 buc",16,https://www.emag.ro/prezervative-premium-my-size-pro-subtiri-si-rezistente-marime-45mm-1-cutie-x-3-buc-d-228854/pd/DZZ7BXMBM/
"Prezervative EXS Delay, 10 bucati",27,https://www.emag.ro/prezervative-exs-delay-10-bucati-667/pd/D7C9LNMBM/
Prezervative Hex Respect 36 buc,169,https://www.emag.ro/prezervative-hex-respect-36-buc-xte201096/pd/DCGWS3MBM/
Prezervative Durex Feel Ultra Thin 3 buc,25,https://www.emag.ro/prezervative-durex-feel-ultra-thin-3-buc-xte200803/pd/DNF1FMMBM/
Prezervative Dolphi Classic,7,https://www.emag.ro/prezervative-dolphi-classic-dolphi/pd/DYXCRYBBM/
"Prezervative ultra subtiri, Mister Size, 69 mm, 1 cutie x 3 buc",25,https://www.emag.ro/prezervative-ultra-subtiri-mister-size-69-mm-1-cutie-x-3-buc-97116/pd/DK7S3XMBM/
Prezervative Durex Feel Intimate 18 bucati,36,https://www.emag.ro/prezervative-durex-feel-intimate-18-bucati-5052197056228/pd/DJ8RQKBBM/
Prezervative Love Match XL Extra Large 6 buc,20,https://www.emag.ro/prezervative-love-match-xl-extra-large-6-buc-xte201178/pd/D609Z7MBM/
"Pachet Prezervative Durex Feel Thin, 3 buc/set + Prezervative Durex Extended Pleasure, 3 buc/set +Lubrifiant Durex Play Saucy Strawberry 50 ml",51,https://www.emag.ro/pachet-prezervative-durex-feel-thin-3-buc-set-prezervative-durex-extended-pleasure-3-buc-set-lubrifiant-durex-play-saucy-strawberry-50-ml-col5134999/pd/DTTHZ5BBM/
"Prezervative Durex Jeans, 2 buc.",9,https://www.emag.ro/prezervative-durex-jeans-2-buc-00234/pd/DYTJMCBBM/
"Prezervative Pasante Warming, 50 bucati",100,https://www.emag.ro/prezervative-pasante-warming-50-bucati-317/pd/DGL3FQBBM/
"Prezervative Manix SKYN Extra Lubricated, 10 buc",79,https://www.emag.ro/prezervative-manix-skyn-extra-lubricated-10-buc-414352/pd/DBX8P9BBM/
"Set 12 prezervative, Durex Natural XL",85,https://www.emag.ro/set-12-prezervative-durex-natural-xl-d-194989/pd/DWQYSTMBM/
Prezervative Amor Nature 3buc,12,https://www.emag.ro/prezervative-amor-nature-3buc-deniro15143/pd/DN8V1ZBBM/
"Prezervative premium My Size PRO, subtiri si rezistente, marime 72mm, 1 cutie x 3 buc",16,https://www.emag.ro/prezervative-premium-my-size-pro-subtiri-si-rezistente-marime-72mm-1-cutie-x-3-buc-d-228879/pd/DYCDGPMBM/
Prezervative Amor Mix 12 buc,34,https://www.emag.ro/prezervative-amor-mix-12-buc-01533-d/pd/DJTHZ5BBM/
"Prezervative premium My Size PRO, subtiri si rezistente, marime 53mm, 1 cutie x 10 buc",46,https://www.emag.ro/prezervative-premium-my-size-pro-subtiri-si-rezistente-marime-53mm-1-cutie-x-10-buc-d-228865/pd/DC4DGPMBM/
"Prezervative TUXIDO ULTRA THIN GIGA PACK, banana, 100 bucati",125,https://www.emag.ro/prezervative-tuxido-ultra-thin-giga-pack-banana-100-bucati-ut202203/pd/DDGT8RBBM/
Prezervative Recare Tutifrutti12 buc,8,https://www.emag.ro/prezervative-recare-tutifrutti12-buc-rectt11/pd/DBSL8WBBM/
"Cutie prezervative Durex , Pleasure Me , 12 bucati",39,https://www.emag.ro/cutie-prezervative-durex-pleasure-me-12-bucati-pleasureme/pd/D66NF8BBM/
"Prezervative Pasante Adore Ribbed, 50 bucati",100,https://www.emag.ro/prezervative-pasante-adore-ribbed-50-bucati-adoreribbed50/pd/D5DGFSBBM/
"Prezervative Love plus intense, 3buc",7,https://www.emag.ro/prezervative-love-plus-intense-3buc-4024487/pd/DBGR19BBM/
"Prezervative Durex Love, 8 Buc",40,https://www.emag.ro/prezervative-durex-love-8-buc-or04114000000/pd/DHF9NDMBM/
Prezervative Good Times Studded 3 buc,14,https://www.emag.ro/prezervative-good-times-studded-3-buc-xte201263/pd/D05SDTMBM/
Prezervative Unique Condom Wallet 3buc,29,https://www.emag.ro/prezervative-unique-condom-wallet-3buc-500646/pd/DSD688BBM/
"Prezervative premium My Size PRO, subtiri si rezistente, marime 53mm, 1 cutie x 3 buc",25,https://www.emag.ro/prezervative-premium-my-size-pro-subtiri-si-rezistente-marime-53mm-1-cutie-x-3-buc-d-228864/pd/DV4DGPMBM/
"Set Pachet Durex 18 prezervative Clasic, gel masaj 200 ml",101,https://www.emag.ro/set-pachet-durex-18-prezervative-clasic-gel-masaj-200-ml-dur2xclasicmasaj/pd/D53DV5BBM/
"Prezervative Durex 40 buc, Cutie Discreta Neagra",123,https://www.emag.ro/prezervative-durex-40-buc-cutie-discreta-neagra-8410104900618/pd/DTRN46BBM/
"Prezervative lubrifiante stimuli cu striatii, cu reservor, set 36 bucati in cutie , Romed",30,https://www.emag.ro/prezervative-lubrifiante-stimuli-cu-striatii-cu-reservor-set-36-bucati-in-cutie-romed-con-tex/pd/D65NG7MBM/
Prezervative Durex Classic 12 buc,34,https://www.emag.ro/prezervative-durex-classic-12-buc-xte200812/pd/D5L0JMMBM/
"Prezervative Pasante Trim, 10 bucati",20,https://www.emag.ro/prezervative-pasante-trim-10-bucati-669/pd/DTC9LNMBM/
"Pachet Prezervative Durex Clasic, 3 buc/set + Lubrifiant Durex Play Feel 50 ml",38,https://www.emag.ro/pachet-prezervative-durex-clasic-3-buc-set-lubrifiant-durex-play-feel-50-ml-col5134994/pd/D8DHZ5BBM/
Prezervative Good Times Ultra Thin 3 buc,14,https://www.emag.ro/prezervative-good-times-ultra-thin-3-buc-xte201264/pd/DX7N3TMBM/
"Prezervative Ritex RR1, 10 buc",22,https://www.emag.ro/prezervative-ritex-rr1-10-buc-4001669410014/pd/DT4L6KMBM/
"Prezervative rezistente, Love Match Resistente, 1 cutie cu 144 buc",169,https://www.emag.ro/prezervative-rezistente-love-match-resistente-1-cutie-cu-144-buc-6503/pd/DGT05PMBM/
"Prezervative Durex Feel Intimate, 36 buc, Cutie Discreta",98,https://www.emag.ro/prezervative-durex-feel-intimate-36-buc-cutie-discreta-5949031309223/pd/DG2JY5BBM/
Pachet Promo Durex: 4 x Durex Feel Intimate 12 bucati,139,https://www.emag.ro/pachet-promo-durex-4-x-durex-feel-intimate-12-bucati-5997321772813/pd/DXGCS1BBM/
"Cutie 6 prezervative Lelo Xex, latex, fara aroma",130,https://www.emag.ro/cutie-6-prezervative-lelo-xex-latex-fara-aroma-d-216260/pd/DQ3SRVBBM/
Prezervative Secura Test the Best 24buc,49,https://www.emag.ro/prezervative-secura-test-the-best-24buc-4024144433063/pd/D4XTJ7MBM/
Prezervative Pasante Infinity 12buc,39,https://www.emag.ro/prezervative-pasante-infinity-12buc-500622/pd/DG0F06BBM/
Prezervative Good Times Smooth 3 buc,14,https://www.emag.ro/prezervative-good-times-smooth-3-buc-xte201262/pd/DJ7N3TMBM/
"Prezervative premium My Size PRO, subtiri si rezistente, marime 64mm, 1 cutie x 3 buc",25,https://www.emag.ro/prezervative-premium-my-size-pro-subtiri-si-rezistente-marime-64mm-1-cutie-x-3-buc-d-228873/pd/DBCDGPMBM/
Prezervative Secura Black Pearl 100 buc,112,https://www.emag.ro/prezervative-secura-black-pearl-100-buc-or04162580000/pd/DTWT4TMBM/
Prezervative Durex Extra Safe 18 bucati,44,https://www.emag.ro/prezervative-durex-extra-safe-18-bucati-5052197056259/pd/DDS4VLBBM/
"Prezervative Durex Select, 10 bucati",30,https://www.emag.ro/prezervative-durex-select-10-bucati-534/pd/DWMMXHMBM/
Prezervative My Size marimea 53 mm x 36 buc,155,https://www.emag.ro/prezervative-my-size-marimea-53-mm-x-36-buc-mysize-656/pd/D105WGBBM/
Prezervative Amor Mix 3 buc,16,https://www.emag.ro/prezervative-amor-mix-3-buc-01532-d/pd/DFTHZ5BBM/
"Prezervative Pasante Warming, 10 bucati",20,https://www.emag.ro/prezervative-pasante-warming-10-bucati-316/pd/DY1KFWBBM/
Prezervative Durex Arouser 3 bucati,20,https://www.emag.ro/prezervative-durex-arouser-3-bucati-1000258234/pd/DHKLJJBBM/
Prezervative Recare Ultra Fine Helado 3 buc,5,https://www.emag.ro/prezervative-recare-ultra-fine-helado-3-buc-pr1/pd/D7RQZGBBM/
"Prezervative Durex Intense Orgasmic, 16 buc",60,https://www.emag.ro/prezervative-durex-intense-orgasmic-16-buc-5997321772189/pd/D3QN1SBBM/
Prezervative MY SIZE 69 x 10 buc,38,https://www.emag.ro/prezervative-my-size-69-x-10-buc-2196a/pd/D3JTMVBBM/
"Set Prezervative Durex Mutual Pleasure 2x16, 32 bucati",155,https://www.emag.ro/set-prezervative-durex-mutual-pleasure-2x16-32-bucati-dur2x16mutualpleasure/pd/DMSY5QBBM/
Prezervativ Amor Young 3 buc,12,https://www.emag.ro/prezervativ-amor-young-3-buc-01534-d/pd/D4THZ5BBM/
Prezervative MY SIZE 53 x 10 buc,38,https://www.emag.ro/prezervative-my-size-53-x-10-buc-2182a/pd/D7VFBVBBM/
"Pachet Prezervative Durex B close, 3 buc/set + Prezervative Durex Feel Thin, 3 buc/set + Prezervative Durex Clasic, 3 buc/set +Prezervative Durex Extended Pleasure, 3 buc/set",49,https://www.emag.ro/pachet-prezervative-durex-b-close-3-buc-set-prezervative-durex-feel-thin-3-buc-set-prezervative-durex-clasic-3-buc-set-prezervative-durex-extended-pleasure-3-buc-set-col5134997/pd/DGDHZ5BBM/
"Prezervative Pasante Naturalle, 10 bucati",20,https://www.emag.ro/prezervative-pasante-naturalle-10-bucati-306/pd/DNT7JWBBM/
"Prezervative Pasante Regular, 10 bucati",20,https://www.emag.ro/prezervative-pasante-regular-10-bucati-308/pd/DMTR9WBBM/
Prezervative Love Match Clasic 6 buc,20,https://www.emag.ro/prezervative-love-match-clasic-6-buc-xte201175/pd/DR09Z7MBM/
"Prezervative Durex Pleasuremax, 3 buc",22,https://www.emag.ro/prezervative-durex-pleasuremax-3-buc-pleasuremax/pd/DTR057BBM/
"Prezervative Pasante Trim, 50 bucati",99,https://www.emag.ro/prezervative-pasante-trim-50-bucati-670/pd/DDC9LNMBM/
"Prezervative subtiri Love Match Sottile, 6 buc",20,https://www.emag.ro/prezervative-subtiri-love-match-sottile-6-buc-8252/pd/DPTX1HMBM/
"Prezervative Durex Intense, 30 buc, Cutie Discreta",115,https://www.emag.ro/prezervative-durex-intense-30-buc-cutie-discreta-5949031309230/pd/DM7JY5BBM/
Pachet Promo Durex: 2 x Durex Intense Orgasmic 10 bucati + 2 x Mutual Pleasure 10 bucati + 1x Invisible Extra Sensitive 10 bucati + 1x Feel Ultra Thin 10 bucati,239,https://www.emag.ro/pachet-promo-durex-2-x-durex-intense-orgasmic-10-bucati-2-x-mutual-pleasure-10-bucati-1x-invisible-extra-sensitive-10-bucati-1x-feel-ultra-thin-10-bucati-5997321772561/pd/DV4NQHMBM/
"Prezervative LifeStyles Original, 3 buc",8,https://www.emag.ro/prezervative-lifestyles-original-3-buc-5011831158032/pd/D8RJT7MBM/
